series,order,suborder,family,genus,genus.species
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alectis,Alectis alexandrina
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alectis,Alectis ciliaris
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alectis,Alectis indica
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alepes,Alepes apercna
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alepes,Alepes djedaba
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alepes,Alepes kleinii
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alepes,Alepes melanoptera
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Alepes,Alepes vari
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Atropus,Atropus atropos
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Atule,Atule mate
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Campogramma,Campogramma glaycos
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides armatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides bajad
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides bartholomaei
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides chrysophrys
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides ciliarius
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides coeruleopinnatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides dinema
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides equula
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides ferdau
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides fulvoguttatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides gymnostethus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides hedlandensis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides humerosus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides malabaricus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides oblongus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides orthogrammus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides otrynter
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides plagiotaenia
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides praeustus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Carangoides,Carangoides talamparoides
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx bucculentus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx caballus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx caninus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx crysos
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx fischeri
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx heberi
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx hippos
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx ignobilis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx latus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx lugubris
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx melampygus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx papuensis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx rhonchus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx ruber
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx senegallus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx sexfasciatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx tille
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Caranx,Caranx vinctus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Chloroscombrus,Chloroscombrus chrysurus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Chloroscombrus,Chloroscombrus orqueta
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus akaadsi
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus koheru
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus kurroides
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus macarellus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus macrosoma
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus maruadsi
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus muroadsi
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus punctatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus russelli
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus scombrinus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Decapterus,Decapterus tabl
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Elagatis,Elagatis bipinnulata
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Gnathanodon,Gnathanodon speciosus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Hemicaranx,Hemicaranx amblyrhynchus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Hemicaranx,Hemicaranx bicolor
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Hemicaranx,Hemicaranx leucurus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Hemicaranx,Hemicaranx zelotes
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Lichia,Lichia amia
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Megalaspis,Megalaspis cordyla
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Naucrates,Naucrates ductor
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Oligoplites,Oligoplites altus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Oligoplites,Oligoplites palometa
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Oligoplites,Oligoplites refulgens
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Oligoplites,Oligoplites saliens
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Oligoplites,Oligoplites saurus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Pantolabus,Pantolabus radiatus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Parastromateus,Parastromateus niger
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Parona,Parona signata
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Pseudocaranx,Pseudocaranx chilensis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Pseudocaranx,Pseudocaranx dentex
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Pseudocaranx,Pseudocaranx dinjerra
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Pseudocaranx,Pseudocaranx wrighti
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Scomberoides,Scomberoides commersonnianus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Scomberoides,Scomberoides lysan
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Scomberoides,Scomberoides tala
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Scomberoides,Scomberoides tol
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selar,Selar boops
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selar,Selar crumenophthalmus
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selaroides,Selaroides leptolepis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene brevoortii
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene brownii
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene dorsalis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene orstedii
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene peruviana
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene setapinnis
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene spixii
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Selene,Selene vomer
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Seriola,Seriola carpenteri
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Seriola,Seriola dumerili
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Seriola,Seriola fasciata
Carangaria,Carangiformes,Carangiformes suborder,Carangidae,Seriola,Seriola hippos
